
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Electrons/Jun11/SingleEle-Run2012B-13Jul2012_nominal.root 1
total events =  3426 , cuts: trigSigEle_path==1 && lepEt > 30 && eMVA > 0.90 && lepIso <0.1 && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*  1064652 *    194711 *       488 * 416772318 *
*  1064742 *    194711 *       491 * 419461331 *
*  1064800 *    194711 *       492 * 420284425 *
*  1066301 *    195304 *       408 * 516529103 *
*  1067044 *    195304 *       419 * 528324317 *
*  1067054 *    195304 *       419 * 528542686 *
*  1068877 *    195655 *        58 *  71232834 *
*  1069675 *    195398 *       269 * 223523294 *
*  1069967 *    195398 *       273 * 227498087 *
*  1071206 *    195398 *       806 * 682382661 *
*  1080486 *    194712 *        14 *   9940870 *
*  1083868 *    195540 *       239 * 324777558 *
*  1084692 *    195552 *       228 * 372635322 *
*  1085784 *    195658 *       207 * 192765761 *
*  1087399 *    195658 *       262 * 244103695 *
*  1089155 *    195398 *      1644 * 1.346e+09 *
*  1089791 *    194912 *       856 * 1.298e+09 *
*  1092744 *    195658 *        21 *  15399894 *
*  1094711 *    194712 *       595 * 441135184 *
*  1094878 *    194712 *       615 * 459938471 *
*  1097725 *    195774 *       403 * 683090384 *
*  1098531 *    195774 *       371 * 637217534 *
*  1099382 *    195774 *       684 * 1.043e+09 *
*  1099694 *    195774 *       688 * 1.046e+09 *
*  1101161 *    195950 *      1041 * 955814559 *
*  1106044 *    194912 *       186 * 295272016 *
*  1106084 *    194912 *       189 * 300239096 *
*  1108809 *    194712 *       608 * 453658143 *
*  1109508 *    194712 *       651 * 495058235 *
*  1113293 *    195398 *      1699 * 1.394e+09 *
*  1116780 *    194712 *       716 * 557111895 *
*  1127690 *    195398 *       659 * 566510244 *
*  1131014 *    194735 *        94 *  97944798 *
*  1135134 *    195304 *       267 * 354317136 *
*  1136278 *    195398 *         6 *   6721826 *
*  1137479 *    194912 *      1195 * 1.657e+09 *
*  1138083 *    194912 *      1373 * 1.822e+09 *
*  1138913 *    195304 *       900 * 1.018e+09 *
*  1143615 *    195749 *       111 * 223017182 *
*  1144236 *    194789 *         4 *   3944099 *
*  1146397 *    195397 *       282 * 433213527 *
*  1147684 *    195915 *       538 * 813867365 *
