
Loading shared libraries: /Users/skhalil/Desktop/BPrime/8TeV/Analysis/Trees/Muons/Jun11Mu/SingleMu-Run2012C-24Aug2012_nominal.root 1
total events =  256 , cuts: trigSigMuNonIso_path==1 && lepEt > 45. && lepIso < 0.12 && isMuTight && njets>=4 && centrality >0.4 && jetEt[0]>200 && jetEt[1]>60 && jetEt[2]>40 && nTagsCSVM >= 1 && met > 20
************************************************
*    Row   * runNumber * lumiNumbe * eventNumb *
*   249863 *    208487 *       291 * 481736421 *
*   249884 *    208487 *       291 * 480383986 *
*   250409 *    208487 *       329 * 534767669 *
*   251001 *    206859 *       543 * 814398068 *
*   252579 *    208391 *       241 * 351878090 *
*   253762 *    206859 *       515 * 775847461 *
*   254337 *    206859 *       546 * 818136512 *
*   255898 *    207100 *        45 *  46603633 *
*   256594 *    206859 *       548 * 821497568 *
*   257587 *    207273 *       866 * 916119101 *
*   258055 *    207454 *      1573 * 1.932e+09 *
*   258769 *    208429 *       511 * 529682008 *
*   261788 *    207269 *       564 * 753271417 *
*   263899 *    208307 *       991 * 1.266e+09 *
*   264945 *    208341 *       544 * 616612461 *
*   266310 *    207889 *       941 * 895562306 *
*   266446 *    207889 *       945 * 898548662 *
*   268015 *    206859 *       556 * 831761750 *
*   268525 *    207279 *       415 * 609780855 *
*   270403 *    207887 *        28 *  13444463 *
*   270729 *    208341 *       573 * 648851762 *
*   272614 *    207279 *       270 * 396364227 *
*   273175 *    207279 *       250 * 364477681 *
*   279511 *    207219 *        24 *  27906403 *
*   279824 *    207219 *        29 *  33232841 *
*   281378 *    208391 *       570 * 745779753 *
*   282395 *    207214 *       453 * 705852082 *
*   282689 *    206859 *       574 * 856617598 *
*   282980 *    206859 *       581 * 865176553 *
*   283146 *    207231 *      1128 * 1.491e+09 *
*   283764 *    207231 *      1260 * 1.631e+09 *
*   285416 *    207515 *       726 * 1.091e+09 *
*   286821 *    206859 *       717 * 1.038e+09 *
*   287873 *    206869 *       149 * 155085315 *
*   287907 *    206869 *       151 * 157218069 *
*   289444 *    206859 *       587 * 873250496 *
*   289558 *    206859 *       597 * 887226713 *
*   291783 *    206859 *       607 * 900513491 *
*   295053 *    207454 *       392 * 604448497 *
*   295088 *    207454 *       394 * 607199427 *
*   296153 *    208427 *       416 * 647369933 *
